Onset,Offset,Text,Quantities,Title
"251,9","250,9","Trias, který začal i skončil velkým vymíráním druhů před 252 a 201 milióny let, hrajeme v rytmu 90 bpm podle rychlosti změn teploty.","['Age', 'BIO_ExtinctionIntensity (%)', 'BIO_OriginationIntensity(%)', 'BIO_Difference_Cubic', 'SEA_Modern land sea level  (C = 176.6 106km2/km)','TEM_GAT', 'TEM_dT', 'CO2_pCO2 (ppm)', 'O2_Mid O2%','SR_87Sr/86Sr Mean', 'LIP_LIP_PDF', 'MAG_INT_mean', 'MAG_POL_FREQUENCY','ZIR_Interpolated_mean_d18O', 'ZIR_Interpolated_mean_Hf']",Trias
"250,85","249,85","Před začátkem triasu vyhynulo 80% mořských a 70% suchozemských druhů. Odhaduje se, že zemřelo více než 90% všech žijících tvorů na Zemi. Dlouhotrvající vulkanické erupce takzvaných Sibiřských trapů totiž způsobilo nárůst globální teploty o 8°C, okyselení oceánů a rozšíření toxického prostředí s nízkým obsahem kyslíku. ","[ 'LIP_LIP_PDF', 'BIO_Difference_Cubic', 'BIO_ExtinctionIntensity (%)', 'BIO_OriginationIntensity(%)']",Trias
232,231,V období triasu na Zemi nebyly vůbec ledovce. Klima bylo horké a suché. Na Zemi panovalo převážně tropické až subtropické klima. Teplota po výrazném nárůstu během středního triasu pomalu klesala.,"['TEM_dT', 'TEM_GAT', 'SEA_Modern land sea level']",Trias
225,224,"Organismy na Zemi se z tohoto šoku pomalu zotavovaly celou první polovinu triasu, jak dokládá narůstající biodiverzita. Převládajícím druhem obratlovců se stávají plazi, hlavně Archosauři, předchůdci dnešních krokodýlů a ptáků. Na konci triasu se také objevují Dinosauři a před 225 milióny let první savci.","['BIO_Difference_Cubic', 'BIO_ExtinctionIntensity (%)', 'BIO_OriginationIntensity(%)']",Trias
215,214,"Souši tvořil po celý Trias převážně jeden superkontinent, nazývaný Pangea. Na konci Triasu se Pangea začíná trhat a vznikají výrazné kontinentální rifty.","['ZIR_Interpolated_mean_d18O', 'ZIR_Interpolated_mean_Hf']",Trias
205,204,"Období Triasu končí výrazným nárůstem teploty povrchu Země a vymíráním druhů. Trhání Pangey způsobilo vznik rozsáhlé vulkanické oblasti. Reakcí oceánů bylo okyselení. Tím se toto prostředí stalo toxickým, s nízkým obsahem kyslíku. Do životního prostředí se zřejmě uvolnilo i velké množství rtuti.","['LIP_LIP_PDF', 'BIO_Difference_Cubic', 'BIO_ExtinctionIntensity (%)', 'BIO_OriginationIntensity(%)']",Trias
"201,4","200,4","Jura začal před 201 miliony lety, po vlně vymírání druhů a s končila před 143 milióny let kdy nastalo období komplexní obměny fauny. Juru ilustrujeme, pro rychlost změn teploty, rytmem 115 bpm. 
Na souši dominovali Dinosauři. Objevují se vedle nich také první vývojové linie dnešních ptáků, krabů, žab, ještěrek a mloků.","['BIO_Difference_Cubic', 'BIO_ExtinctionIntensity (%)', 'BIO_OriginationIntensity(%)']",Jura
180,179,"Klima bylo výrazně teplejší než dnes, a to o 5 až 10°C. Z perspektivy historie Země se označuje za mírné až chladnější, ale není tak studené jako dnes. Narušilo ho několik horkých intervalů, která doprovázela výrazná okyselení oceánů.","['TEM_dT', 'TEM_GAT', 'SEA_Modern land sea level']",Jura
149,148,"Hladina moře stoupala. Její úroveň výrazně kolísala. V některých obdobích dosahovala úrovně blízké těm dnešním, ale například v době před 150 milióny let byla až o 140 m výš, než dnes.","['TEM_dT', 'TEM_GAT', 'SEA_Modern land sea level']",Jura
146,145,Superkontinent Pangea se postupně trhal. Nejprve se od sebe oddělila severní Amerika s Asií a jižní Amerika s Afrikou.,"['ZIR_Interpolated_mean_d18O', 'ZIR_Interpolated_mean_Hf']",Jura
